doc_id,DEPTH,EQUIPMENT,MEASUREMENT_BAR,MEASUREMENT_DEG,MEASUREMENT_KNM,MEASUREMENT_LPM,MEASUREMENT_M3,MEASUREMENT_MT,MEASUREMENT_RPM,MEASUREMENT_SG,TIME_REF
15_9_19_ST2_1992_12_21.pdf,112,120,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1992_12_22.pdf,82,0,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1992_12_23.pdf,91,0,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1992_12_24.pdf,102,10,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1992_12_25.pdf,168,0,0,0,0,12,0,0,12,0,0
15_9_19_ST2_1992_12_26.pdf,84,12,0,0,0,24,0,0,12,24,0
15_9_19_ST2_1992_12_27.pdf,84,12,0,0,0,12,0,0,12,24,0
15_9_19_ST2_1992_12_28.pdf,146,13,0,0,0,0,0,0,0,0,12
15_9_19_ST2_1992_12_29.pdf,102,2,0,0,0,0,0,0,0,0,12
15_9_19_ST2_1992_12_30.pdf,128,23,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1992_12_31.pdf,217,11,11,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_01_01.pdf,161,86,24,12,0,0,0,0,0,0,0
15_9_19_ST2_1993_01_02.pdf,78,69,22,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_01_03.pdf,194,23,0,0,0,0,0,0,0,0,33
15_9_19_ST2_1993_01_04.pdf,124,38,0,0,0,0,0,0,12,0,0
15_9_19_ST2_1993_01_05.pdf,43,26,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_01_06.pdf,302,196,36,0,0,60,0,0,36,0,48
15_9_19_ST2_1993_01_07.pdf,172,73,12,0,0,24,0,0,12,0,0
15_9_19_ST2_1993_01_08.pdf,89,10,20,0,0,30,0,0,20,0,0
15_9_19_ST2_1993_01_09.pdf,145,0,36,0,0,36,0,0,24,0,0
15_9_19_ST2_1993_01_10.pdf,86,0,24,0,0,24,0,0,24,0,0
15_9_19_ST2_1993_01_11.pdf,58,11,22,0,0,33,0,0,33,0,22
15_9_19_ST2_1993_01_13.pdf,62,2,0,0,0,0,0,0,0,12,0
15_9_19_ST2_1993_01_14.pdf,62,75,12,0,0,12,0,0,12,25,12
15_9_19_ST2_1993_01_15.pdf,51,25,0,0,0,48,0,12,0,1,0
15_9_19_ST2_1993_01_16.pdf,61,41,0,0,0,0,0,0,0,14,12
15_9_19_ST2_1993_01_17.pdf,0,3,61,0,0,24,0,0,0,97,0
15_9_19_ST2_1993_01_18.pdf,25,50,0,0,0,0,0,0,0,0,12
15_9_19_ST2_1993_01_19.pdf,12,49,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_01_20.pdf,13,157,36,0,0,0,0,12,0,12,12
15_9_19_ST2_1993_01_21.pdf,62,1,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_01_22.pdf,25,1,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_01_23.pdf,84,48,0,0,0,0,0,0,0,12,12
15_9_19_ST2_1993_01_24.pdf,108,25,0,0,0,0,0,12,0,0,0
15_9_19_ST2_1993_01_25.pdf,66,66,11,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_01_26.pdf,89,23,56,0,0,22,0,0,0,22,33
15_9_19_ST2_1993_01_27.pdf,55,23,22,0,0,0,0,0,0,0,22
15_9_19_ST2_1993_01_28.pdf,44,56,33,0,0,0,0,0,0,11,33
15_9_19_ST2_1993_01_29.pdf,44,55,22,0,0,0,0,0,0,0,22
15_9_19_ST2_1993_01_30.pdf,33,55,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_02_01.pdf,0,0,0,0,0,0,0,0,0,0,12
15_9_19_ST2_1993_02_18.pdf,0,2,0,0,0,0,0,0,0,0,12
15_9_19_ST2_1993_02_19.pdf,12,25,0,0,0,0,0,12,0,0,0
15_9_19_ST2_1993_02_20.pdf,0,25,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_02_23.pdf,24,25,0,0,0,0,0,12,0,0,0
15_9_19_ST2_1993_02_24.pdf,12,108,48,0,0,0,0,12,0,0,36
15_9_19_ST2_1993_02_25.pdf,48,36,25,0,0,0,0,0,0,13,0
