doc_id,rank,keyword,tfidf_score
15_9_19_A_1997_08_21.pdf,10,made bit,0.182952
15_9_19_A_1997_08_21.pdf,11,ako,0.180251
15_9_19_A_1997_08_21.pdf,12,degr,0.175422
15_9_19_A_1997_08_21.pdf,13,shots,0.173244
15_9_19_A_1997_08_21.pdf,14,actuator,0.173244
15_9_19_A_1997_08_21.pdf,15,mwd,0.173016
15_9_19_A_1997_08_22.pdf,1,cuttings returns,0.219551
15_9_19_A_1997_08_22.pdf,2,memory mwd,0.214633
15_9_19_A_1997_08_22.pdf,3,drilled circulated,0.212223
15_9_19_A_1997_08_22.pdf,4,size,0.210295
15_9_19_A_1997_08_22.pdf,5,flowchecked pumped,0.206414
15_9_19_A_1997_08_22.pdf,6,mwd memory,0.206414
15_9_19_A_1997_08_22.pdf,7,cavings,0.202904
15_9_19_A_1997_08_22.pdf,8,amount cuttings,0.194021
15_9_19_A_1997_08_22.pdf,9,small,0.189103
15_9_19_A_1997_08_22.pdf,10,atlas,0.184234
15_9_19_A_1997_08_22.pdf,11,memory,0.182773
15_9_19_A_1997_08_22.pdf,12,dumped,0.182773
15_9_19_A_1997_08_22.pdf,13,logs,0.180884
15_9_19_A_1997_08_22.pdf,14,normal,0.174169
15_9_19_A_1997_08_22.pdf,15,amount,0.174169
15_9_19_A_1997_08_23.pdf,1,hdil,0.250174
15_9_19_A_1997_08_23.pdf,2,hdil mac,0.250174
15_9_19_A_1997_08_23.pdf,3,vsp,0.238622
15_9_19_A_1997_08_23.pdf,4,cht,0.236807
15_9_19_A_1997_08_23.pdf,5,stood,0.217921
15_9_19_A_1997_08_23.pdf,6,logs,0.213344
15_9_19_A_1997_08_23.pdf,7,mac,0.206529
15_9_19_A_1997_08_23.pdf,8,logged,0.184333
15_9_19_A_1997_08_23.pdf,9,attempted work,0.168021
15_9_19_A_1997_08_23.pdf,10,travelling block,0.164258
15_9_19_A_1997_08_23.pdf,11,rih tool,0.164258
15_9_19_A_1997_08_23.pdf,12,travelling,0.157968
15_9_19_A_1997_08_23.pdf,13,swivel,0.157968
15_9_19_A_1997_08_23.pdf,14,logging,0.156324
15_9_19_A_1997_08_23.pdf,15,finished,0.155349
15_9_19_A_1997_08_24.pdf,1,hdil mac,0.335692
15_9_19_A_1997_08_24.pdf,2,hdil,0.335692
15_9_19_A_1997_08_24.pdf,3,zdl,0.325973
15_9_19_A_1997_08_24.pdf,4,cht,0.317755
15_9_19_A_1997_08_24.pdf,5,mac,0.277128
15_9_19_A_1997_08_24.pdf,6,vsp,0.273687
15_9_19_A_1997_08_24.pdf,7,rih logging,0.215951
15_9_19_A_1997_08_24.pdf,8,experienced problems,0.202043
15_9_19_A_1997_08_24.pdf,9,began,0.19663
15_9_19_A_1997_08_24.pdf,10,finished,0.190627
15_9_19_A_1997_08_24.pdf,11,repairing,0.189734
15_9_19_A_1997_08_24.pdf,12,logs,0.185749
15_9_19_A_1997_08_24.pdf,13,logging tools,0.175826
15_9_19_A_1997_08_24.pdf,14,experienced,0.167972
